channel,event,kind,log-date,log-time,messageId,newrelic.logs.batchIndex,plugin.type,plugin.version,timestamp,status,transaction,pri,transaction2,message,channel-uat,kind-uat,log-date-uat,log-time-uat,transaction-uat,pri-uat,transaction2-uat,message-uat
EventManager,ULgR7KFwERU34Ec90QYnlVGP,OUT,2021/08/06,15:26:35,dd2a4f7a-84b8-447b-8fc9-5af8991213a8,418,fluentd,1.1.10,1628281595777,,,,,,,,,,,,,
StateManager,,TOREGISTER,2021/08/06,15:26:35,2f527942-63c8-41f6-985d-d39e28635bab,417,fluentd,1.1.10,1628281595777,"(2,1)",ULgR7KFwERU34Ec90QYnlVGP,,,,,,,,,,,
Output,,OUT,2021/08/06,15:26:35,80bf64d9-d0ef-42be-94ad-3e5b10ad8ad0,416,fluentd,1.1.10,1628281595774,,ULgR7KRG2bK+jkc90QbRDTLi,,,,,,,,,,,
DeliveryManager,,OUT,2021/08/06,15:26:35,917faacb-23b7-4156-8009-831ad9d216b2,415,fluentd,1.1.10,1628281595774,,ULgR7KRG2bK+jkc90QbRDTLi,,,,,,,,,,,
ServiceCenterOu,,IN,2021/08/06,15:26:35,0681b431-50a7-4872-a5a8-614866d6cafc,414,fluentd,1.1.10,1628281595769,,ULgR7KRZYlH1jkc90QbskK5+,6,,,,,,,,,,
StateManager,,NEWEVENT,2021/08/06,15:26:35,2a34ab39-4a84-4f81-ae48-b0a3a074da71,413,fluentd,1.1.10,1628281595768,"(2,1)",ULgR7KFwERU34Ec90QYnlVGP,,,,,,,,,,,
StateManager,,TOREGISTER,2021/08/06,15:26:35,b1ae49b7-2e69-4945-a24a-210bfa48729b,412,fluentd,1.1.10,1628281595768,"(1,2)",ULgR7KFwERU34Ec90QYnlVGP,,,,,,,,,,,
WsSerInPriAdAut,,OUT,2021/08/06,15:26:35,e90adc16-5f4f-455d-b14c-e5446b0a23ee,411,fluentd,1.1.10,1628281595763,,ULgR7KRZYlH1jkc90QbskK5+,6,,,,,,,,,,
DeliveryManager,,IN,2021/08/06,15:26:35,def32415-2d6d-4f22-b549-1c83e814725d,410,fluentd,1.1.10,1628281595762,,ULgR7KRG2bK+jkc90QbRDTLi,,,,,,,,,,,
Output,,IN,2021/08/06,15:26:35,4d2adc9c-016a-4c78-9504-29632003881f,409,fluentd,1.1.10,1628281595762,,ULgR7KRG2bK+jkc90QbRDTLi,,,,,,,,,,,
StateManager,,IN,2021/08/06,15:26:35,a90f9c07-7482-41bc-ae0b-29f7b320230d,408,fluentd,1.1.10,1628281595759,"(1,2)",ULgR7KFwERU34Ec90QYnlVGP,,,,,,,,,,,
EventManager,ULgR7KFwERU34Ec90QYnlVGP,IN,2021/08/06,15:26:35,9d294d5c-3746-4414-9d66-fdba5afa574b,407,fluentd,1.1.10,1628281595759,,,,,,,,,,,,,
JMSCollInAdp,ULgR7KFwERU34Ec90QYnlVGP,OUT,2021/08/06,15:26:35,f64eeb38-1be8-4652-8d3e-26bc5effcb79,404,fluentd,1.1.10,1628281595749,,,,,,,,,,,,,
WsSerInPriAdAut,,IN,2021/08/06,15:26:35,2645af80-90dd-491a-9d57-87bbfbaeba53,405,fluentd,1.1.10,1628281595749,,ULgR7KRZYlH1jkc90QbskK5+,-,,,,,,,,,,
WsSerInPriAdAut,,NEWTRANS,2021/08/06,15:26:35,497cb63a-621d-43ca-add5-378ac1931785,406,fluentd,1.1.10,1628281595749,,ULgR7KRZYlH1jkc90QbskK5+,,,202108061526357379209896,,,,,,,,
ServiceCenterOu,,MNEWTRANS,2021/08/06,15:26:35,b2a46e8d-534e-4616-86b1-90b2e3d5914b,401,fluentd,1.1.10,1628281595749,,ULgR7KRG2bK+jkc90QbRDTLi,,ULgR7KR+OvFQSUc90Qb3ajgX,,,,,,,,,
ServiceCenterOu,,TOREGISTER,2021/08/06,15:26:35,cb5e6a1b-983b-4a52-8610-a40c852f7eb9,402,fluentd,1.1.10,1628281595749,,ULgR7KRG2bK+jkc90QbRDTLi,,,,,,,,,,,
ServiceCenterOu,,OUT,2021/08/06,15:26:35,122c879b-38b9-46df-9b8e-acf2e4a8b742,403,fluentd,1.1.10,1628281595749,,ULgR7KRG2bK+jkc90QbRDTLi,6,,,,,,,,,,
JMSCollInAdp,ULgR7KFwERU34Ec90QYnlVGP,IN,2021/08/06,15:26:35,f669665c-0ab3-47ad-83d4-46a0eb98e9de,400,fluentd,1.1.10,1628281595741,,,,,,,,,,,,,
apnsout,,NEWEVENT,2021/08/06,15:26:35.729,94878e46-2b2f-4dc9-8610-bd79ed76ceb7,399,fluentd,1.1.10,1628281595729,"(1,2)",ULgR7KFwERU34Ec90QYnlVGP,,,,,,,,,,,
ServiceCenterOu,,IN,2021/08/06,15:26:35,94547d1b-c9c3-4bb2-be0c-332fd7f2f7be,398,fluentd,1.1.10,1628281595724,,ULgR7KR+OvFQSUc90Qb3ajgX,6,,,,,,,,,,
apnsout,,SEND,2021/08/06,15:26:35.722,481911c5-13ac-495d-9d4b-2e89d78b3cfb,397,fluentd,1.1.10,1628281595722,,ULgR7KFwERU34Ec90QYnlVGP,,,,,,,,,,,
WsSerInPriAdAut,,OUT,2021/08/06,15:26:35,0314a9e7-e29e-4507-ad11-7db419693386,396,fluentd,1.1.10,1628281595720,,ULgR7KR+OvFQSUc90Qb3ajgX,6,,,,,,,,,,
WsSerInPriAdAut,,NEWTRANS,2021/08/06,15:26:35,f3765cc4-5116-40bd-a0c0-0ffd9ffc2936,395,fluentd,1.1.10,1628281595712,,ULgR7KR+OvFQSUc90Qb3ajgX,,,20210806152635563660987b,,,,,,,,
WsSerInPriAdAut,,IN,2021/08/06,15:26:35,abe9ce3d-3016-4d49-9ec6-acb2f9c28eae,394,fluentd,1.1.10,1628281595712,,ULgR7KR+OvFQSUc90Qb3ajgX,-,,,,,,,,,,
google-fcm-out,,IN,2021/08/06,15:26:35,f042ef23-0cb3-4632-98f8-f2143d4aab11,7,fluentd,1.1.10,1628281595689,,ULgR7KLf7I+bjkc90Qck4/KR,,,,,,,,,,,
EventManager,ULgR7K9NDAcvR+c90Qb2BoqB,OUT,2021/08/06,15:26:35,c2352851-c512-46b6-8b44-6206f38abaad,393,fluentd,1.1.10,1628281595688,,,,,,,,,,,,,
StateManager,,TOREGISTER,2021/08/06,15:26:35,007d7b6f-193a-4eed-b5bf-8516d9e83770,392,fluentd,1.1.10,1628281595688,"(2,1)",ULgR7K9NDAcvR+c90Qb2BoqB,,,,,,,,,,,
StateManager,,NEWEVENT,2021/08/06,15:26:35,0e1f8af7-a38d-444a-9188-861b4664acc9,391,fluentd,1.1.10,1628281595681,"(2,1)",ULgR7K9NDAcvR+c90Qb2BoqB,,,,,,,,,,,
StateManager,,TOREGISTER,2021/08/06,15:26:35,247293a0-7962-445c-b9a1-af8dee7ac464,390,fluentd,1.1.10,1628281595681,"(1,2)",ULgR7K9NDAcvR+c90Qb2BoqB,,,,,,,,,,,
FailOverManager,,OUT,2021/08/06,15:26:35,f2102f85-8efe-4199-8ea8-4f3291596c4d,6,fluentd,1.1.10,1628281595680,,ULgR7KLf7I+bjkc90Qck4/KR,6,,,,,,,,,,
FailOverManager,,IN,2021/08/06,15:26:35,3645983c-a0f5-4838-aa75-c2df4252f733,5,fluentd,1.1.10,1628281595678,,ULgR7KLf7I+bjkc90Qck4/KR,,,,,,,,,,,
StateManager,,IN,2021/08/06,15:26:35,14b341fe-1182-45b3-a220-3a2926c00626,389,fluentd,1.1.10,1628281595674,"(1,2)",ULgR7K9NDAcvR+c90Qb2BoqB,,,,,,,,,,,
EventManager,ULgR7K9NDAcvR+c90Qb2BoqB,IN,2021/08/06,15:26:35,f8e4aecd-c076-436c-a50c-e818025106fd,388,fluentd,1.1.10,1628281595674,,,,,,,,,,,,,
JMSCollInAdp,ULgR7K9NDAcvR+c90Qb2BoqB,OUT,2021/08/06,15:26:35,0b6f5497-4172-4d7e-8c53-5acaf11712bc,387,fluentd,1.1.10,1628281595667,,,,,,,,,,,,,
JMSCollInAdp,ULgR7K9NDAcvR+c90Qb2BoqB,IN,2021/08/06,15:26:35,af243d5c-a6c5-420c-8422-f3631d687144,386,fluentd,1.1.10,1628281595660,,,,,,,,,,,,,
google-fcm-out,,SEND,2021/08/06,15:26:35,1015b40a-6fc2-4155-b56a-74e4126d180e,385,fluentd,1.1.10,1628281595652,,ULgR7K9Mo6UHYkc90QZFA1aI,,,,,,,,,,,
google-fcm-out,,OUT,2021/08/06,15:26:35,9464cfcb-0127-4973-b243-55b29e33a9f1,384,fluentd,1.1.10,1628281595652,"(1,2)",ULgR7K9Mo6UHYkc90QZFA1aI,,,,,,,,,,,
EventManager,ULgR3Lpj0toXCkc90QeJdQhb,OUT,2021/08/06,15:26:35,0e2ef4c7-ede8-4407-af79-0e380b42cb37,4,fluentd,1.1.10,1628281595599,,,,,,,,,,,,,
StateManager,,TOREGISTER,2021/08/06,15:26:35,227c648e-2310-43d8-928d-20f93811571f,3,fluentd,1.1.10,1628281595599,"(1,7)",ULgR3Lpj0toXCkc90QeJdQhb,,,,,,,,,,,
EventManager,ULgR7KJnOeewGEc90Qb5Om1u,OUT,2021/08/06,15:26:35,8d43876d-6afb-4cc0-9f69-2d5d6c2a9134,383,fluentd,1.1.10,1628281595596,,,,,,,,,,,,,
StateManager,,TOREGISTER,2021/08/06,15:26:35,53eab41e-c176-488a-9b44-a1146e92992a,382,fluentd,1.1.10,1628281595596,"(2,1)",ULgR7KJnOeewGEc90Qb5Om1u,,,,,,,,,,,
StateManager,,IN,2021/08/06,15:26:35,3e035ca6-15d0-46b3-8a70-d93e30dbfa2b,2,fluentd,1.1.10,1628281595593,"(1,7)",ULgR3Lpj0toXCkc90QeJdQhb,,,,,,,,,,,
EventManager,ULgR3Lpj0toXCkc90QeJdQhb,IN,2021/08/06,15:26:35,db746440-30b6-41cd-8f69-b760678f3bb6,1,fluentd,1.1.10,1628281595593,,,,,,,,,,,,,
StateManager,,NEWEVENT,2021/08/06,15:26:35,94b7d80f-78ef-4efa-ab6b-3e62a99e7b3b,381,fluentd,1.1.10,1628281595590,"(2,1)",ULgR7KJnOeewGEc90Qb5Om1u,,,,,,,,,,,
StateManager,,TOREGISTER,2021/08/06,15:26:35,a097f88c-ac36-4344-827c-c47c4470b046,380,fluentd,1.1.10,1628281595590,"(1,0)",ULgR7KJnOeewGEc90Qb5Om1u,,,,,,,,,,,
StateManager,,IN,2021/08/06,15:26:35,0ea1a76f-c62d-4a61-9b6a-3530a42b6942,379,fluentd,1.1.10,1628281595583,"(1,0)",ULgR7KJnOeewGEc90Qb5Om1u,,,,,,,,,,,
EventManager,ULgR7KJnOeewGEc90Qb5Om1u,IN,2021/08/06,15:26:35,9553988b-2796-4739-96a0-ef1e3a17cc2d,378,fluentd,1.1.10,1628281595583,,,,,,,,,,,,,
colhttp-out1,,OUT,2021/08/06,15:26:35,5c13aef8-0447-447b-9d99-eed01d176eaa,377,fluentd,1.1.10,1628281595575,"(1,0)",ULgR7KJnOeewGEc90Qb5Om1u,,,,,,,,,,,
,,,,,f87f22aa-13c6-44a1-830c-d65fcd64b2d3,11,fluentd,1.1.10,1628281595572,,,,,,Output,OUT,2021/08/06,15:26:35,ULgR7KOVydR/Mkc978iuHjLA,,,
,,,,,23b3da48-2a91-4fcb-b0a3-31e6df2ee59a,10,fluentd,1.1.10,1628281595572,,,,,,DeliveryManager,OUT,2021/08/06,15:26:35,ULgR7KOVydR/Mkc978iuHjLA,,,
EventsSender,,NEWEVENT,2021/08/06,15:26:35,08dc1f8e-60b6-471b-8998-87b5be21632a,797,fluentd,1.1.10,1628281595570,"(1,7)",ULgR3Lpj0toXCkc90QeJdQhb,,,,,,,,,,,
,,,,,9a30a845-74d5-4b05-b786-edec09cb34fb,9,fluentd,1.1.10,1628281595569,,,,,,DeliveryManager,IN,2021/08/06,15:26:35,ULgR7KOVydR/Mkc978iuHjLA,,,
,,,,,bc4856c4-8a42-4b52-931e-edc51f444534,8,fluentd,1.1.10,1628281595569,,,,,,Output,IN,2021/08/06,15:26:35,ULgR7KOVydR/Mkc978iuHjLA,,,
colhttp-out1,,SEND,2021/08/06,15:26:35,1cfbe81a-19c7-42cc-8da7-94eb51f8cd18,376,fluentd,1.1.10,1628281595568,,ULgR7KJnOeewGEc90Qb5Om1u,,,,,,,,,,,
,,,,,09b5fbc1-a72d-4597-982a-c41a093d8bb4,5,fluentd,1.1.10,1628281595560,,,,,,ServiceCenterOu,MNEWTRANS,2021/08/06,15:26:35,ULgR7KOVydR/Mkc978iuHjLA,,ULgR7KOC64eCikc978h6AUJM,
,,,,,e9db4341-8fa5-4b25-9601-31d0fcee7e7b,6,fluentd,1.1.10,1628281595560,,,,,,ServiceCenterOu,TOREGISTER,2021/08/06,15:26:35,ULgR7KOVydR/Mkc978iuHjLA,,,
,,,,,b805b03d-5157-422a-8314-63038a1a1638,7,fluentd,1.1.10,1628281595560,,,,,,ServiceCenterOu,OUT,2021/08/06,15:26:35,ULgR7KOVydR/Mkc978iuHjLA,6,,
,,,,,6a014e9d-331a-43b3-8a55-190495f4c8c7,4,fluentd,1.1.10,1628281595542,,,,,,ServiceCenterOu,IN,2021/08/06,15:26:35,ULgR7KOC64eCikc978h6AUJM,6,,
,,,,,fd01e82e-09b9-4925-8008-35570ef9328f,3,fluentd,1.1.10,1628281595538,,,,,,WsSerInPriAdAut,OUT,2021/08/06,15:26:35,ULgR7KOC64eCikc978h6AUJM,6,,
,,,,,b3e556a1-bf21-4fdb-a8ff-1ca4beb7a450,2,fluentd,1.1.10,1628281595534,,,,,,WsSerInPriAdAut,NEWTRANS,2021/08/06,15:26:35,ULgR7KOC64eCikc978h6AUJM,,,202108061526355233529875
,,,,,9f3d8bcb-4480-4617-91a8-6b7fa39c85ef,1,fluentd,1.1.10,1628281595534,,,,,,WsSerInPriAdAut,IN,2021/08/06,15:26:35,ULgR7KOC64eCikc978h6AUJM,-,,
colhttp-out1,,IN,2021/08/06,15:26:35,c5cbff96-7111-4599-97cb-449b083d595a,375,fluentd,1.1.10,1628281595511,,ULgR7KJnOeewGEc90Qb5Om1u,,,,,,,,,,,
google-fcm-out,,IN,2021/08/06,15:26:35,3b26f77b-8f6c-458a-9394-c8735f88fabe,374,fluentd,1.1.10,1628281595511,,ULgR7K9Mo6UHYkc90QZFA1aI,,,,,,,,,,,
apnsout,,IN,2021/08/06,15:26:35.510,e8c71f2b-5f97-42e1-af60-bd373601535b,373,fluentd,1.1.10,1628281595510,,ULgR7KFwERU34Ec90QYnlVGP,,,,,,,,,,,
FailOverManager,,OUT,2021/08/06,15:26:35,478db281-282d-4c4b-b892-0347dd120925,372,fluentd,1.1.10,1628281595494,,ULgR7KJnOeewGEc90Qb5Om1u,4,,,,,,,,,,
FailOverManager,,IN,2021/08/06,15:26:35,dac5c11f-320a-4459-a776-43a624e2909c,371,fluentd,1.1.10,1628281595487,,ULgR7KJnOeewGEc90Qb5Om1u,,,,,,,,,,,
FailOverManager,,OUT,2021/08/06,15:26:35,0a91abc7-e589-4426-9574-dce3a877c586,370,fluentd,1.1.10,1628281595482,,ULgR7KFwERU34Ec90QYnlVGP,6,,,,,,,,,,
FailOverManager,,IN,2021/08/06,15:26:35,d9d0b72b-4101-48db-8446-c4be3dace2aa,369,fluentd,1.1.10,1628281595475,,ULgR7KFwERU34Ec90QYnlVGP,,,,,,,,,,,
FailOverManager,,OUT,2021/08/06,15:26:35,afd72c60-4d09-4496-89da-9297ae0254f5,368,fluentd,1.1.10,1628281595469,,ULgR7K9Mo6UHYkc90QZFA1aI,6,,,,,,,,,,
FailOverManager,,IN,2021/08/06,15:26:35,89da6995-3f79-4cec-8a6d-41069e34b4e3,367,fluentd,1.1.10,1628281595462,,ULgR7K9Mo6UHYkc90QZFA1aI,,,,,,,,,,,
Output,,OUT,2021/08/06,15:26:35,1748f6f7-b08f-4131-8c93-ceb405eeeba9,796,fluentd,1.1.10,1628281595390,,ULgR7KLf7I+bjkc90Qck4/KR,,,,,,,,,,,
DeliveryManager,,OUT,2021/08/06,15:26:35,55abbd61-041f-4ff6-8e67-07e6637a2125,795,fluentd,1.1.10,1628281595390,,ULgR7KLf7I+bjkc90Qck4/KR,,,,,,,,,,,
DeliveryManager,,IN,2021/08/06,15:26:35,87e52f52-05bf-4fd9-9375-2d61c5d0c317,794,fluentd,1.1.10,1628281595388,,ULgR7KLf7I+bjkc90Qck4/KR,,,,,,,,,,,
Output,,IN,2021/08/06,15:26:35,07a1827a-585b-45e6-9aac-44b8355e25ce,793,fluentd,1.1.10,1628281595388,,ULgR7KLf7I+bjkc90Qck4/KR,,,,,,,,,,,
ServiceCenterOu,,MNEWTRANS,2021/08/06,15:26:35,9d5f71d0-a7ca-4508-b692-d5bd3acfc369,790,fluentd,1.1.10,1628281595376,,ULgR7KLf7I+bjkc90Qck4/KR,,ULgR7KLSuLhw0+c90QdBBNTX,,,,,,,,,
ServiceCenterOu,,TOREGISTER,2021/08/06,15:26:35,193e8d27-de01-40e6-8842-0fd9aa000af3,791,fluentd,1.1.10,1628281595376,,ULgR7KLf7I+bjkc90Qck4/KR,,,,,,,,,,,
ServiceCenterOu,,OUT,2021/08/06,15:26:35,d6c0fb16-cdca-4923-be38-401ad8ae0756,792,fluentd,1.1.10,1628281595376,,ULgR7KLf7I+bjkc90Qck4/KR,6,,,,,,,,,,
ServiceCenterOu,,IN,2021/08/06,15:26:35,4c954226-d601-4634-9daf-cb2951027dc6,789,fluentd,1.1.10,1628281595364,,ULgR7KLSuLhw0+c90QdBBNTX,6,,,,,,,,,,
WsSerInPriAdAut,,OUT,2021/08/06,15:26:35,e368ec89-ebe8-4eda-b06b-6d9b163c78f3,788,fluentd,1.1.10,1628281595360,,ULgR7KLSuLhw0+c90QdBBNTX,6,,,,,,,,,,
WsSerInPriAdAut,,NEWTRANS,2021/08/06,15:26:35,4c440c4b-10c4-4f05-b6fd-d8b5c8195f41,787,fluentd,1.1.10,1628281595359,,ULgR7KLSuLhw0+c90QdBBNTX,,,20210806152635347496985a,,,,,,,,
WsSerInPriAdAut,,IN,2021/08/06,15:26:35,6ea391de-027b-4687-95a1-2d166f7414fe,786,fluentd,1.1.10,1628281595358,,ULgR7KLSuLhw0+c90QdBBNTX,-,,,,,,,,,,
Output,,OUT,2021/08/06,15:26:35,7b6cc85a-c779-428e-95f5-c13dd6707093,366,fluentd,1.1.10,1628281595306,,ULgR7KJnOeewGEc90Qb5Om1u,,,,,,,,,,,
DeliveryManager,,OUT,2021/08/06,15:26:35,80f42b04-9ac1-4fc6-898a-a6618b0c8f6d,365,fluentd,1.1.10,1628281595306,,ULgR7KJnOeewGEc90Qb5Om1u,,,,,,,,,,,
DeliveryManager,,IN,2021/08/06,15:26:35,929c52a8-beae-41d2-ba12-ce62b99fa0d4,364,fluentd,1.1.10,1628281595300,,ULgR7KJnOeewGEc90Qb5Om1u,,,,,,,,,,,
Output,,IN,2021/08/06,15:26:35,bfd93090-5481-47d9-b6e2-b0cf5d18d562,363,fluentd,1.1.10,1628281595299,,ULgR7KJnOeewGEc90Qb5Om1u,,,,,,,,,,,
ServiceCenterOu,,MNEWTRANS,2021/08/06,15:26:35,a6f931e6-4479-456c-871f-ad9f74fad544,360,fluentd,1.1.10,1628281595267,,ULgR7KJnOeewGEc90Qb5Om1u,,ULgR7KJ/vNJn4+c90QbV4r88,,,,,,,,,
ServiceCenterOu,,TOREGISTER,2021/08/06,15:26:35,51dff3d6-1a2f-4cd0-b35f-71b4d266243b,361,fluentd,1.1.10,1628281595267,,ULgR7KJnOeewGEc90Qb5Om1u,,,,,,,,,,,
ServiceCenterOu,,OUT,2021/08/06,15:26:35,a4c27580-02c3-42eb-9ac9-0f8be409889d,362,fluentd,1.1.10,1628281595267,,ULgR7KJnOeewGEc90Qb5Om1u,4,,,,,,,,,,
EventManager,ULgR7K+Aj2vJtUc90Qdu3tZA,OUT,2021/08/06,15:26:35,df74831b-a269-49e9-a80e-250febbb93ce,785,fluentd,1.1.10,1628281595264,,,,,,,,,,,,,
